check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-20T06:43:31.761381+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-20T06:43:31.761398+05:30
tls,pass,TLS certificate valid,,2026-09-20T06:43:32.532067+05:30
http,pass,Probe 1: HTTP 200 at https://sugarres.lk/,https://sugarres.lk/,2026-09-20T06:43:55.451078+05:30
http,pass,Probe 2: HTTP 200 at http://sugarres.lk/,http://sugarres.lk/,2026-09-20T06:43:55.451096+05:30
http,pass,Probe 3: HTTP 200 at https://sugarres.lk/,https://sugarres.lk/,2026-09-20T06:43:55.451100+05:30
http,pass,Probe 4: HTTP 200 at http://sugarres.lk/,http://sugarres.lk/,2026-09-20T06:43:55.451104+05:30
http,pass,Probe 5: HTTP 200 at https://sugarres.lk/research-divisions/,https://sugarres.lk/research-divisions/,2026-09-20T06:43:55.451108+05:30
http,pass,Probe 6: HTTP 200 at https://sugarres.lk/division-of-crop-improvement/,https://sugarres.lk/division-of-crop-improvement/,2026-09-20T06:43:55.451111+05:30
http,pass,Probe 7: HTTP 200 at https://sugarres.lk/division-of-crm-copy/,https://sugarres.lk/division-of-crm-copy/,2026-09-20T06:43:55.451115+05:30
http,pass,Probe 8: HTTP 200 at https://sugarres.lk/division-of-cn/,https://sugarres.lk/division-of-cn/,2026-09-20T06:43:55.451118+05:30
http,pass,Probe 9: HTTP 200 at https://sugarres.lk/division-of-cp/,https://sugarres.lk/division-of-cp/,2026-09-20T06:43:55.451121+05:30
http,pass,Probe 10: HTTP 200 at https://sugarres.lk/division-of-pt-2/,https://sugarres.lk/division-of-pt-2/,2026-09-20T06:43:55.451125+05:30
http,pass,Probe 11: HTTP 200 at https://sugarres.lk/division-of-mechanization-technology/,https://sugarres.lk/division-of-mechanization-technology/,2026-09-20T06:43:55.451128+05:30
http,pass,Probe 12: HTTP 200 at https://sugarres.lk/development-offices/,https://sugarres.lk/development-offices/,2026-09-20T06:43:55.451132+05:30
http,pass,Probe 13: HTTP 200 at https://sugarres.lk/services/,https://sugarres.lk/services/,2026-09-20T06:43:55.451135+05:30
http,pass,Probe 14: HTTP 200 at https://sugarres.lk/contact-us/,https://sugarres.lk/contact-us/,2026-09-20T06:43:55.451139+05:30
phone,pass,Published phone: +94) 47 22 33 281,https://sugarres.lk/,
